<<<<<<< HEAD
"answer_id","answer","late_answer","answer_option","answer_plus_option","question_id","question_name","question_description","playerround_id","groupround_round_number","player_code","group_name","gamesession_name","welfare_level","round_income","welfare_income_k"
597,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",650,1,"t1p5","table1","240924_EPA_IntroDays_Ommen","High",120000,"High (120k)"
692,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",683,2,"t1p5","table1","240924_EPA_IntroDays_Ommen","High",120000,"High (120k)"
775,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",721,3,"t1p5","table1","240924_EPA_IntroDays_Ommen","High",120000,"High (120k)"
618,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",649,1,"t1p6","table1","240924_EPA_IntroDays_Ommen","Very High",180000,"Very High (180k)"
687,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",680,2,"t1p6","table1","240924_EPA_IntroDays_Ommen","Very High",180000,"Very High (180k)"
773,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",720,3,"t1p6","table1","240924_EPA_IntroDays_Ommen","Very High",180000,"Very High (180k)"
615,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",652,1,"t1p7","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05,"High-average (100k)"
696,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",702,2,"t1p7","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05,"High-average (100k)"
777,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",725,3,"t1p7","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05,"High-average (100k)"
=======
"answer_id","answer","late_answer","answer_option","answer_plus_option","question_id","question_name","question_description","playerround_id","groupround_round_number","player_code","group_name","gamesession_name","welfare_level","round_income","welfare_income_k"
610,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",655,1,"t1p1","table1","240924_EPA_IntroDays_Ommen","Low",65000,"Low (65k)"
702,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",685,2,"t1p1","table1","240924_EPA_IntroDays_Ommen","Low",65000,"Low (65k)"
781,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",719,3,"t1p1","table1","240924_EPA_IntroDays_Ommen","Low",65000,"Low (65k)"
621,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",651,1,"t1p2","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05,"High-average (100k)"
700,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",681,2,"t1p2","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05,"High-average (100k)"
771,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",724,3,"t1p2","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05,"High-average (100k)"
613,4,0,"I will suffer some damage","4 - I will suffer some damage",37,"Question 1.","How do you judge the flooding risk of your house?",653,1,"t1p3","table1","240924_EPA_IntroDays_Ommen","Very Low",50000,"Very Low (50k)"
705,5,0,"I will get seriously damaged","5 - I will get seriously damaged",37,"Question 1.","How do you judge the flooding risk of your house?",682,2,"t1p3","table1","240924_EPA_IntroDays_Ommen","Very Low",50000,"Very Low (50k)"
779,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",722,3,"t1p3","table1","240924_EPA_IntroDays_Ommen","Very Low",50000,"Very Low (50k)"
599,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",654,1,"t1p4","table1","240924_EPA_IntroDays_Ommen","Low-average",80000,"Low-average (80k)"
689,4,0,"I will suffer some damage","4 - I will suffer some damage",37,"Question 1.","How do you judge the flooding risk of your house?",684,2,"t1p4","table1","240924_EPA_IntroDays_Ommen","Low-average",80000,"Low-average (80k)"
769,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",723,3,"t1p4","table1","240924_EPA_IntroDays_Ommen","Low-average",80000,"Low-average (80k)"
597,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",650,1,"t1p5","table1","240924_EPA_IntroDays_Ommen","High",120000,"High (120k)"
692,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",683,2,"t1p5","table1","240924_EPA_IntroDays_Ommen","High",120000,"High (120k)"
775,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",721,3,"t1p5","table1","240924_EPA_IntroDays_Ommen","High",120000,"High (120k)"
618,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",649,1,"t1p6","table1","240924_EPA_IntroDays_Ommen","Very High",180000,"Very High (180k)"
687,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",680,2,"t1p6","table1","240924_EPA_IntroDays_Ommen","Very High",180000,"Very High (180k)"
773,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",720,3,"t1p6","table1","240924_EPA_IntroDays_Ommen","Very High",180000,"Very High (180k)"
615,1,0,"I won't get flooded","1 - I won't get flooded",37,"Question 1.","How do you judge the flooding risk of your house?",652,1,"t1p7","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05,"High-average (100k)"
696,3,0,"I might suffer minor damage","3 - I might suffer minor damage",37,"Question 1.","How do you judge the flooding risk of your house?",702,2,"t1p7","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05,"High-average (100k)"
777,2,0,"If I get flooded, I won't get damaged","2 - If I get flooded, I won't get damaged",37,"Question 1.","How do you judge the flooding risk of your house?",725,3,"t1p7","table1","240924_EPA_IntroDays_Ommen","High-average",1e+05,"High-average (100k)"
>>>>>>> ca769c527e0b91e58914c5a922abfb19a7b9f934
